service_date,gtfs_route_id,gtfs_route_desc,route_category,mode_type,otp_numerator,otp_denominator,cancelled_numerator,month,route_short_name,route_long_name
2021-11-28,CR-Kingston,Commuter Rail,NULL,Commuter Rail,18,18,0,21Nov,,Kingston Line
2021-11-28,CR-Haverhill,Commuter Rail,NULL,Commuter Rail,15,16,0,21Nov,,Haverhill Line
2021-11-28,CR-Haverhill,Commuter Rail,NULL,Commuter Rail,0,0,0,21Nov,,Haverhill Line
2021-11-28,CR-Greenbush,Commuter Rail,NULL,Commuter Rail,0,0,0,21Nov,,Greenbush Line
2021-11-28,CR-Greenbush,Commuter Rail,NULL,Commuter Rail,16,16,0,21Nov,,Greenbush Line
2021-11-28,CR-Franklin,Commuter Rail,NULL,Commuter Rail,16,18,0,21Nov,,Franklin Line
2021-11-28,CR-Franklin,Commuter Rail,NULL,Commuter Rail,0,0,0,21Nov,,Franklin Line
2021-11-28,CR-Fitchburg,Commuter Rail,NULL,Commuter Rail,15,16,0,21Nov,,Fitchburg Line
2021-11-28,CR-Fitchburg,Commuter Rail,NULL,Commuter Rail,0,0,0,21Nov,,Fitchburg Line
2021-11-28,CR-Fairmount,Commuter Rail,NULL,Commuter Rail,0,0,0,21Nov,,Fairmount Line
2021-11-28,CR-Fairmount,Commuter Rail,NULL,Commuter Rail,24,24,0,21Nov,,Fairmount Line
2021-11-28,Blue,Rapid Transit,Blue Line,Rail,33192.18,33682.69,0,21Nov,,Blue Line
2021-11-28,99,Local Bus,Other Bus,Bus,123,172,0,21Nov,99,Woodland Road - Wellington Station
2021-11-28,97,Local Bus,Other Bus,Bus,93,100,0,21Nov,97,Malden Center Station - Wellington Station
2021-11-28,96,Local Bus,Other Bus,Bus,197,265,0,21Nov,96,Medford Square - Harvard Station
2021-11-28,95,Local Bus,Other Bus,Bus,138,159,0,21Nov,95,West Medford or Arlington Center - Sullivan Square Station
2021-11-28,94,Local Bus,Other Bus,Bus,161,191,0,21Nov,94,Medford Square - Davis Station
2021-11-28,93,Local Bus,Other Bus,Bus,119,152,0,21Nov,93,Sullivan Square Station - Downtown via Bunker Hill Street
2021-11-28,91,Local Bus,Other Bus,Bus,173,200,0,21Nov,91,"Sullivan Square Station - Central Square, Cambridge"
2021-11-28,90,Local Bus,Other Bus,Bus,58,60,0,21Nov,90,Davis Station - Assembly Row
2021-11-28,9,Local Bus,Other Bus,Bus,325,412,0,21Nov,9,City Point - Copley Station
2021-11-28,89,Local Bus,Other Bus,Bus,149,219,0,21Nov,89,Clarendon Hill or Davis Station - Sullivan Square Station
2021-11-28,88,Local Bus,Other Bus,Bus,315,395,0,21Nov,88,Clarendon Hill - Lechmere Station
2021-11-28,87,Local Bus,Other Bus,Bus,344,393,0,21Nov,87,Clarendon Hill or Arlington Center - Lechmere Station
2021-11-28,86,Local Bus,Other Bus,Bus,252,358,0,21Nov,86,Sullivan Square Station - Reservoir Station
2021-11-28,83,Local Bus,Other Bus,Bus,169,213,0,21Nov,83,"Rindge Avenue - Central Square, Cambridge"
2021-11-28,80,Local Bus,Other Bus,Bus,191,224,0,21Nov,80,Arlington Center - Lechmere Station
2021-11-28,8,Local Bus,Other Bus,Bus,291,492,0,21Nov,8,Harbor Point - Kenmore Station
2021-11-28,78,Local Bus,Other Bus,Bus,226,303,0,21Nov,78,Arlmont Village - Harvard Station
2021-11-28,77,Key Bus Route (Frequent Service),Key Bus,Bus,725,928,0,21Nov,77,Arlington Heights - Harvard Station
2021-11-28,751,Rapid Transit,Silver Line,Bus,461,554,0,21Nov,SL4,Nubian Station - South Station
2021-11-28,75,Local Bus,Other Bus,Bus,229,275,0,21Nov,75,Belmont Center - Harvard via Huron Avenue
2021-11-28,749,Rapid Transit,Silver Line,Bus,607,738,0,21Nov,SL5,Nubian Station - Temple Place
2021-11-28,746,Rapid Transit,Silver Line,Bus,54,77,0,21Nov,SLW,Silver Line Way - South Station
2021-11-28,743,Rapid Transit,Silver Line,Bus,1180,1492,0,21Nov,SL3,Chelsea Station - South Station
2021-11-28,742,Rapid Transit,Silver Line,Bus,461,569,0,21Nov,SL2,Drydock Avenue - South Station
2021-11-28,741,Rapid Transit,Silver Line,Bus,2158,2634,0,21Nov,SL1,Logan Airport Terminals - South Station
2021-11-28,73,Key Bus Route (Frequent Service),Key Bus,Bus,476,586,0,21Nov,73,Waverley Square - Harvard Station
